NAME,DISPLAY_NAME,ALLOWED_RANGES,DEFAULT_VALUE,DESCRIPTION
"set_prbs_soft_logic_enable","Enable prbs soft accumulators","{0 1}","0","Enables soft logic for doing prbs bit and error accumulation when using the hard prbs generator and checker."
"enable_rcfg_tx_digitalreset_release_ctrl","Enable rcfg_tx_digitalreset_release_ctrl port","{0 1}","0","Enables the rcfg_tx_digitalreset_release_ctrl port that dynamically controls the TX PCS reset release sequence. This port is mandatory when reconfiguring to/from TX PCS Gearbox ratio of *:67. Deassert this signal at least 30ns before deasserting tx_digitalreset when the TX PCS Gearbox ratio is configured to *:67. In other modes, assert this signal at least 30ns before deasserting tx_digitalreset."
"suppress_design_example_messages","suppress_design_example_messages","-2147483648:2147483647","0","This parameter is intended for a parent IP to supress the messages."
"tx_pll_type","Tx PLL type","ATX fPLL CMU","ATX","Selects the type of the TX PLL to be used in example design."
"tx_pll_refclk","Tx PLL reference clock frequency","","125.0","Tx PLL reference clock frequency. If an appropriate value is not specified, design example generation will fail."
"use_tx_clkout2","Use tx_clkout2 as source for tx_coreclkin","{0 1}","0","Determines whether tx_clkout or tx_clkout2 is used to clock tx_coreclkin and the TX data generator."
"use_rx_clkout2","Use rx_clkout2 as source for rx_coreclkin","{0 1}","0","Determines whether rx_clkout or rx_clkout2 is used to clock rx_coreclkin and the RX data generator."
"enable_de_hardware_debug","Enable soft register map for System Console","{0 1}","0","Enables a soft register map to be read out in system-console.  Allows the reading back of the design status.  Works in tandem with the transceiver ADME."
"enable_fast_sim","Enable fast simulations","{0 1}","0","When enabled, reduces counter values to improve simulation time for PCI-e. Not recommended for hardware."
"enable_mac_total_control","Enable MAC total control of PHY settings","{0 1}","0","When enabled, the PCIe pseudo MAC controls tx_margin, tx_swing, tx_deemph, and other settings of PHY."
"enable_insert_eios_err","Enable PCIe EIOS error insertion","{0 1}","0","When this testing feature enabled, erred EIOS will be sent from PCIe pseudo MAC."
"tile_type_suffix","Xcvr Tile Type Suffix","{} _htile _etile","","TBD."
"design_example_filename","Design example filename","","top","Specifies the name of the design example. If design example generation succesful, filename.qsys and filename_tb.qsys files will be generated."
"anlg_voltage","VCCR_GXB and VCCT_GXB supply voltage for the Transceiver","1_1V 1_0V","1_0V","Selects the VCCR_GXB and VCCT_GXB supply voltage for the Transceiver."
"anlg_link","Tranceiver Link Type","sr lr","sr","Selects the type of transceiver link. SR-Short Reach (Chip-to-chip communication), LR-Long Reach (Backplane communication)"
"enable_ports_adaptation","Enable adaptation control ports","{0 1}","0","Enables the optional rx_adapt_reset, and rx_adapt_start ports. These ports are used to control the adaptation engine (adaptation engine can also be controlled through DPRIO interface). Even if they are exposed, the ports are not usable until they are activated through DPRIO interface. For adaptation engine control: user needs to apply the reset first, after releasing reset, assert the start. The adaptation status can be observed through DPRIO interface."
"qsf_assignments_enable","Provide sample QSF assignments","{0 1}","0","When enabled, the IP will display the sample Quartus Settings File assignments equivalent to the current IP settings. You do not normally need these QSF assignments as the analog settings are set by the IP in the design. However, depending on your system, you may want to override the IP settings using QSF assignments. One such case may be when you have different analog settings per channel in a multi-channel interface or if you want to use different analog settings assignments for different instances of an interface."
"tx_pma_analog_mode","TX PMA analog mode rules","analog_off cei_4976_lr cei_4976_sr cei_6375_lr cei_6375_sr cei_9950_lr cei_9950_sr cei_11100_lr cei_11100_sr cei_12500_lr cei_12500_sr cei_19000_vsr cei_28000_vsr cpri_12500 cpri_e6hv cpri_e6lv cpri_e6lvii cpri_e6lviii cpri_e12hv cpri_e12lv cpri_e12lvii cpri_e12lviii cpri_e24lv cpri_e24lvii cpri_e24lviii cpri_e30lv cpri_e30lvii cpri_e30lviii cpri_e48lvii cpri_e48lviii cpri_e60lvii cpri_e60lviii cpri_e96lviii cpri_e99lviii dp_1620 dp_2700 dp_5400 fc_400_df_ea_s fc_400_df_el_s fc_800_df_ea_s fc_800_df_el_s fc_1600_df_ea_s fc_1600_df_el_s gige_1250 gpon_155 gpon_622 gpon_1244 gpon_2488 hdmi_3400 hdmi_6000 higig_3125 higig_3750 higig_4062 higig_5000 higig_6250 higig_6562 hmc_10000 hmc_12500 hmc_15000 ieee_10g_base_cr_10312 ieee_10g_base_cx4 ieee_10g_base_kx4 ieee_10g_kr_10312 ieee_40g_base_cr4_10312 ieee_40g_base_kr_10312 ieee_100g_base_cr4_25781 ieee_100g_base_cr10_10312 ieee_100g_base_kr4_25781 ieee_1000_base_cx ieee_1000_base_kx ieee_itut_10g_gpon_epon infiniband_ddr_5000 infiniband_fdr_14000 infiniband_qdr_10000 infiniband_sdr_2500 interlaken_3125 interlaken_6375 interlaken_11100 interlaken_12500 interlaken_25781 jesd204_a_b_312 jesd204_a_b_3125 jesd204_a_b_6375 jesd204_a_b_12500 jesd204_b_16000 nppi_10312 otu2_10709 pcie_cable qsgmii_5000 sas_1500 sas_3000 sas_6000 sas_12000 sata_1500 sata_3000 sata_6000 sdi_270_sd sdi_1485_hd sdi_2970_3g sdi_6000 sdi_12000 serial_lite_iii_16400 serial_lite_iii_17400 sff_8431 sfi_2488 sfi_3125 sfi_s_6250 sfi_s_11200 sonet_oc12_622 sonet_oc48_2488 sonet_oc192_9953 srio_1250_lr srio_1250_sr srio_2500_lr srio_2500_sr srio_3125_lr srio_3125_sr srio_5000_lr srio_5000_mr srio_5000_sr srio_6250_lr srio_6250_mr srio_6250_sr srio_10312_lr srio_10312_sr upi user_custom xaui_3125 xfp_9950 xfp_10310 xfp_10520 xfp_10700 xfp_11320 xfp_12500","user_custom","Selects the analog protocol mode rules to pre-select the TX pin swing settings (VOD, Pre-emphasis, and Slew Rate). "
"rx_pma_analog_mode","RX PMA analog mode rules","analog_off dp_1620 dp_2700 dp_5400 dp_8100 gpon_622 gpon_1244 hdmi_3400 hdmi_6000 ieee_10g_base_kx4 ieee_10g_kr_10312 ieee_40g_base_cr4_10312 ieee_100g_base_cr10_10312 ieee_1000_base_kx infiniband_fdr_14000 nppi_10312 sas_12000 sonet_oc48_2488 upi user_custom","user_custom","Selects the analog protocol mode rules to pre-select the RX pin swing settings (VOD, Pre-emphasis, and Slew Rate). "
"tx_pma_optimal_settings","Use default TX PMA analog settings","{0 1}","1","When enabled, the TX PMA analog parameters will be configured using Intel specified default settings. When disabled, you must manually configure the TX PMA analog parameters. Your particular system or appliation may require custom settings."
"rx_pma_optimal_settings","Use default RX PMA analog settings","{0 1}","1","When enabled', the RX PMA analog parameters will be configured using Intel specified default settings. When disabled, you must manually configure the RX PMA analog parameters. Your particular system or appliation may require custom settings."
"rx_pma_adapt_mode","RX adaptation mode","{manual:Manual CTLE, Manual VGA, DFE Off} {ctle_only:Adaptive CTLE, Adaptive VGA, DFE Off} {ctle_dfe:Adaptive CTLE, Adaptive VGA, All-Tap Adaptive DFE} {ctle_dfe_tap1:Adaptive CTLE, Adaptive VGA, 1-Tap Adaptive DFE}","manual","Specifies the operation mode for the RX adaptation circuits."
